,article_name,country,revision_id,article_quality,population
57,Omar Hammayil,Palestinian Territory,760380012.0,Stub,
58,Mohammed Milhim,Palestinian Territory,760380700.0,Stub,
59,Faisal Husseini,Palestinian Territory,765742925.0,Start,
60,Haidar Abdel-Shafi,Palestinian Territory,766784372.0,Start,
61,Nasser al-Shaer,Palestinian Territory,766840809.0,Start,
62,Omar Abd al-Razaq,Palestinian Territory,766847361.0,Stub,
63,Adnan al-Husayni,Palestinian Territory,767482479.0,Stub,
64,Ziad Abu Amr,Palestinian Territory,767881055.0,Start,
65,Ziad Abuzayyad,Palestinian Territory,768374386.0,Start,
66,Azzam al-Ahmad,Palestinian Territory,769135700.0,Stub,
67,Leila Shahid,Palestinian Territory,769328020.0,Start,
68,Sharm El Sheikh Memorandum,Palestinian Territory,771217707.0,Start,
69,Hussein al-Husayni,Palestinian Territory,773002344.0,Start,
70,Riyad al-Maliki,Palestinian Territory,773227993.0,Start,
71,Yasser Abed Rabbo,Palestinian Territory,774821388.0,C,
72,Isra al-Modallal,Palestinian Territory,775535912.0,Start,
73,Jamal Abu Samhadana,Palestinian Territory,775898615.0,C,
74,Sufian Abu Zaida,Palestinian Territory,776289919.0,Start,
75,Taysir Khalid,Palestinian Territory,776386870.0,Stub,
76,Ibrahim Nassar,Palestinian Territory,776831011.0,Start,
77,Anwar Khatib,Palestinian Territory,777026878.0,Start,
78,Jamil Majdalawi,Palestinian Territory,779034357.0,Stub,
79,Foreign Affairs Minister of the Palestinian National Authority,Palestinian Territory,779105366.0,Start,
80,Rabiha Diab,Palestinian Territory,779367907.0,Stub,
81,Ahmed Hilmi Pasha,Palestinian Territory,782105397.0,C,
82,Majida Al-Masri,Palestinian Territory,783041670.0,Stub,
83,Emil Ghuri,Palestinian Territory,784373796.0,Stub,
84,Ali Jarbawi,Palestinian Territory,784662302.0,Start,
85,Jamal al-Jamal,Palestinian Territory,784977752.0,Start,
86,Jamal al-Husayni,Palestinian Territory,785938135.0,B,
87,Musa al-Husayni,Palestinian Territory,785938199.0,B,
88,Salim al-Husayni,Palestinian Territory,785938222.0,Stub,
89,Mustafa Barghouti,Palestinian Territory,787198183.0,C,
90,Abdel Hafiz Nofal,Palestinian Territory,787385830.0,Start,
91,Zaki al-Ghul,Palestinian Territory,787447130.0,Stub,
92,Oslo I Accord,Palestinian Territory,787453135.0,C,
93,Adly Yaish,Palestinian Territory,787691185.0,Stub,
94,Intissar al-Wazir,Palestinian Territory,788004334.0,Start,
95,Muhammad Abu Tir,Palestinian Territory,788019130.0,C,
96,"Palestinian general election, 1996",Palestinian Territory,788023506.0,C,
97,Protocol Concerning the Redeployment in Hebron,Palestinian Territory,788026998.0,C,
98,Yousef al-Khalidi,Palestinian Territory,788159128.0,Stub,
99,List of mayors of Nablus,Palestinian Territory,788189214.0,Stub,
100,Khalil al-Hayya,Palestinian Territory,788437086.0,Stub,
101,President of the Palestinian National Authority,Palestinian Territory,788509815.0,B,
102,Fathi Ahmad Hammad,Palestinian Territory,788591724.0,Stub,
103,Abdullah Rimawi,Palestinian Territory,788953220.0,GA,
104,Yahya Hammuda,Palestinian Territory,788988278.0,Stub,
105,Hani al-Hassan,Palestinian Territory,789228790.0,Start,
106,Bashir Barghouti,Palestinian Territory,790695172.0,Start,
107,Bassam as-Salhi,Palestinian Territory,790721748.0,Stub,
108,Khalida Jarrar,Palestinian Territory,791881528.0,B,
109,Kamel al-Budeiri,Palestinian Territory,792611747.0,Start,
110,Zuheir Mohsen,Palestinian Territory,792615206.0,C,
111,Abdel-Razak al-Yehiyeh,Palestinian Territory,793718428.0,Start,
112,Abu Ali Mustafa,Palestinian Territory,794170874.0,Start,
113,Salah Khalaf,Palestinian Territory,794482018.0,C,
114,Kamal Nasser,Palestinian Territory,795004000.0,Start,
115,Current members of Palestinian Legislative Council,Palestinian Territory,795648388.0,Start,
116,Fathi Hamad,Palestinian Territory,796124047.0,Start,
117,Musa Alami,Palestinian Territory,796697881.0,C,
118,Palestinian Declaration of Independence,Palestinian Territory,796911861.0,C,
119,Ahmad Kurd,Palestinian Territory,796924085.0,Stub,
120,Amin al-Majaj,Palestinian Territory,796961464.0,Start,
121,Aziz Duwaik,Palestinian Territory,797021613.0,C,
122,Ahmed Yassin,Palestinian Territory,797122322.0,GA,
123,Hanan Ashrawi,Palestinian Territory,797806716.0,C,
124,Cause of Yasser Arafat's death,Palestinian Territory,798100387.0,B,
125,Kassim Al-Rimawi,Palestinian Territory,798262559.0,Start,
126,Ibrahim Abu-Lughod,Palestinian Territory,798282902.0,C,
127,Islah Jad,Palestinian Territory,798331360.0,Start,
128,Issam Sartawi,Palestinian Territory,798732432.0,C,
129,Marwan Barghouti,Palestinian Territory,798913975.0,GA,
130,Mohammad Shtayyeh,Palestinian Territory,799023109.0,C,
131,Mohammed Dahlan,Palestinian Territory,799023535.0,C,
132,Nabil Shaath,Palestinian Territory,799072017.0,Start,
133,Nabeel Kassis,Palestinian Territory,799209138.0,Start,
134,Mahmoud al-Mabhouh,Palestinian Territory,799802471.0,GA,
135,Qadura Fares,Palestinian Territory,799858795.0,Stub,
136,Leila Khaled,Palestinian Territory,800067783.0,C,
137,Muhammad Nimr al-Hawari,Palestinian Territory,800264686.0,C,
138,Wadie Haddad,Palestinian Territory,800268417.0,Start,
139,Munib al-Masri,Palestinian Territory,800663648.0,C,
140,Suha Arafat,Palestinian Territory,800718761.0,C,
141,Taba Summit,Palestinian Territory,800748567.0,C,
142,Sari Nusseibeh,Palestinian Territory,800949001.0,C,
143,Education Minister of the Palestinian National Authority,Palestinian Territory,801102332.0,Start,
144,Yaqub al-Ghusayn,Palestinian Territory,801214518.0,Start,
145,Khaled Mashal,Palestinian Territory,801299475.0,B,
146,Ziad Abu Ein,Palestinian Territory,801335922.0,C,
147,Zuhdi Labib Terzi,Palestinian Territory,801507800.0,Start,
148,Raghib al-Nashashibi,Palestinian Territory,801867039.0,Start,
149,Jamila Abdallah Taha al-Shanti,Palestinian Territory,802082257.0,Stub,
150,Jibril Rajoub,Palestinian Territory,802302873.0,C,
151,Abdelrahman al-Dajani,Palestinian Territory,802436402.0,Stub,
152,Ahmad Agha Duzdar,Palestinian Territory,802436510.0,Stub,
153,Musa al-Alami (mayor of Jerusalem),Palestinian Territory,802436655.0,Stub,
154,Hussam ad-Din Jarallah,Palestinian Territory,802438226.0,Start,
155,As'ad Shukeiri,Palestinian Territory,802444446.0,Stub,
156,Eyad al-Sarraj,Palestinian Territory,802495061.0,Start,
157,Abdel Aziz al-Rantisi,Palestinian Territory,802598153.0,C,
158,Fatima Bernawi,Palestinian Territory,802835604.0,Start,
159,Ahmad Sa'adat,Palestinian Territory,802968215.0,C,
160,Salah Shehade,Palestinian Territory,803242304.0,C,
161,Mahmoud Abbas,Palestinian Territory,803433440.0,B,
162,Yasser Arafat,Palestinian Territory,804075706.0,FA,
163,Ahmad Shukeiri,Palestinian Territory,804132518.0,Start,
164,10 agorot controversy,Palestinian Territory,804292510.0,Start,
165,2000 Camp David Summit,Palestinian Territory,804914588.0,B,
166,Amin al-Husseini,Palestinian Territory,804940228.0,B,
167,Adel Zawati,Palestinian Territory,804957442.0,Start,
168,Omar Barghouti,Palestinian Territory,805306238.0,C,
169,Arab Money,Palestinian Territory,805321868.0,C,
170,Ghassan Khatib,Palestinian Territory,805441005.0,Start,
171,Ahmad Toukan,Palestinian Territory,805811873.0,Start,
172,Khalil al-Wazir,Palestinian Territory,806359448.0,B,
173,Ismail Haniyeh,Palestinian Territory,806939531.0,C,
174,Nizar Rayan,Palestinian Territory,807364845.0,GA,
175,Haifa al-Agha,Palestinian Territory,807439836.0,Stub,
176,Mahmoud al-Zahar,Palestinian Territory,807444564.0,C,
177,Hakam Balawi,Palestinian Territory,807459429.0,Start,
178,Yunis Al Astal,Palestinian Territory,807462818.0,Start,
179,Julius Gregr,Czech Republic,395521877.0,Stub,
180,Edvard Gregr,Czech Republic,395526568.0,Stub,
181,Miroslav Poche,Czech Republic,672862914.0,Stub,
182,Vojtěch Mynář,Czech Republic,673008587.0,Stub,
183,Jan Malypetr,Czech Republic,704424304.0,Stub,
184,Emanuel Moravec,Czech Republic,705080136.0,Start,
185,Vladimír Hučín,Czech Republic,707597623.0,Start,
186,Pavla Topolánková,Czech Republic,709676840.0,Start,
187,Josef Barák,Czech Republic,711675761.0,Stub,
188,Antonín Švehla,Czech Republic,712426548.0,Stub,
189,Jakob Marzel Sternberger,Czech Republic,713698544.0,Stub,
190,Alois Anderka,Czech Republic,714174726.0,Stub,
191,Ivan Dejmal,Czech Republic,715467197.0,Start,
192,Franz Macoun,Czech Republic,715640391.0,Stub,
193,Karel Urbánek,Czech Republic,716711851.0,Stub,
194,Vladimír Klokočka,Czech Republic,717429365.0,Start,
195,Jaromír Jermář,Czech Republic,720027362.0,Stub,
196,Artur London,Czech Republic,721736524.0,Start,
197,František Sláma (politician),Czech Republic,722937211.0,Stub,
198,Jan Kubice,Czech Republic,723151837.0,Stub,
199,Kamil Jankovský,Czech Republic,723207013.0,Stub,
200,Václav Vacek,Czech Republic,724691268.0,Stub,
201,Čestmír Císař,Czech Republic,725362978.0,C,
202,Luca Rovinalti,Czech Republic,726666131.0,Stub,
203,Kamil Krofta,Czech Republic,726762194.0,Start,
204,Milan Štěch,Czech Republic,728506208.0,Stub,
205,Antonín Janoušek,Czech Republic,729912438.0,Stub,
206,Bedřich Geminder,Czech Republic,730146355.0,Stub,
207,Karel Domin,Czech Republic,735174171.0,Start,
208,Hubert Ripka,Czech Republic,737562321.0,Stub,
209,Tomáš Eduard Šilinger,Czech Republic,741588720.0,Stub,
210,Petr Janyška,Czech Republic,741798984.0,Stub,
211,Jana Juřenčáková,Czech Republic,743423675.0,Stub,
212,Jaromír Nečas,Czech Republic,744448745.0,Stub,
213,Siegfried Taub,Czech Republic,744612257.0,Start,
214,Záviš Kalandra,Czech Republic,746707985.0,Stub,
215,Alois Rašín,Czech Republic,749575931.0,Start,
216,Bedřich Reicin,Czech Republic,749945936.0,Start,
217,Bernd Richter,Czech Republic,751718674.0,Stub,
218,Kamil Kalina,Czech Republic,753045804.0,Stub,
219,Richard Sacher,Czech Republic,755428089.0,Stub,
220,Václav Fischer,Czech Republic,756317863.0,Start,
221,Božena Viková-Kunětická,Czech Republic,757336278.0,Stub,
222,Mikuláš of Hus,Czech Republic,758942647.0,Stub,
223,Gertruda Sekaninová-Čakrtová,Czech Republic,759446334.0,GA,
224,Petr Mlsna,Czech Republic,765838180.0,Stub,
225,Antonín Cyril Stojan,Czech Republic,768047769.0,C,
226,František Kubka,Czech Republic,768676716.0,Stub,
227,Josef Pfitzner,Czech Republic,773853256.0,Start,
228,Vladimír Franz,Czech Republic,774595725.0,C,
229,Jan Stocklassa,Czech Republic,776095794.0,Stub,
230,Jaroslav Krejčí,Czech Republic,776197284.0,Start,
231,Libuše Benešová,Czech Republic,776338134.0,Stub,
232,Daniela Filipiová,Czech Republic,776338195.0,Start,
233,Moses Porges von Portheim,Czech Republic,776487173.0,Start,
234,Jan Kasl,Czech Republic,776508129.0,Start,
235,Jiří Kittner,Czech Republic,776509425.0,Stub,
236,Miloslav Vlček,Czech Republic,776513404.0,Stub,
237,Ivo Svoboda (politician),Czech Republic,776513552.0,Start,
238,Hana Orgoníková,Czech Republic,776513802.0,Stub,
239,Pavel Dostál,Czech Republic,776514175.0,Start,
240,Jiří Lobkowicz,Czech Republic,776751749.0,Stub,
241,Bohuslav Kokotek,Czech Republic,777876483.0,Stub,
242,Alena Hanáková,Czech Republic,778095433.0,Stub,
243,Irena Kočí,Czech Republic,779417455.0,Stub,
244,Martin Netolický,Czech Republic,779417738.0,Stub,
245,David Rath,Czech Republic,779418369.0,Start,
246,Eva Nováková,Czech Republic,779498276.0,Stub,
247,Vojtěch Adam,Czech Republic,779500408.0,Stub,
248,Vlastimil Balín,Czech Republic,779500749.0,Stub,
249,Jiří Dolejš,Czech Republic,779500957.0,Stub,
250,Zuzka Bebarová-Rujbrová,Czech Republic,779501010.0,Stub,
251,Marie Stiborová,Czech Republic,779501096.0,Stub,
252,Jiří Svoboda (politician),Czech Republic,779501161.0,Stub,
253,Miloslava Vostrá,Czech Republic,779501194.0,Stub,
254,Jiří Čeřovský,Czech Republic,779501654.0,Stub,
255,Jan Korger,Czech Republic,779501783.0,Stub,
256,Kateřina Jacques,Czech Republic,779581127.0,C,
257,Tomáš Chalupa,Czech Republic,779839245.0,Stub,
258,Pavel Blažek,Czech Republic,779839319.0,Stub,
259,Aleš Řebíček,Czech Republic,779839400.0,Stub,
260,Ivan Langer,Czech Republic,779839455.0,Start,
261,Jan Stráský,Czech Republic,779839492.0,Start,
262,Jan Chvojka,Czech Republic,779842639.0,Stub,
263,Marie Benešová,Czech Republic,779847262.0,Stub,
264,Juraj Chmiel,Czech Republic,779847492.0,Stub,
265,Daniela Kovářová,Czech Republic,779847531.0,Stub,
266,Rostislav Vondruška,Czech Republic,779847687.0,Stub,
267,Martin Štěpánek (actor),Czech Republic,779847799.0,Stub,
268,Helena Třeštíková,Czech Republic,779847837.0,Stub,
269,Milena Vicenová,Czech Republic,779847883.0,Stub,
270,Jaroslav Bašta,Czech Republic,779848743.0,Stub,
271,Josef Lux,Czech Republic,779849059.0,Stub,
272,Miroslav Macek,Czech Republic,779849258.0,Stub,
273,Ladislav Miko,Czech Republic,779849694.0,Stub,
274,Džamila Stehlíková,Czech Republic,779849767.0,Stub,
275,Jozef Moravčík,Czech Republic,780051829.0,Stub,
276,Milan Uhde,Czech Republic,780321961.0,Stub,
277,František Pitra,Czech Republic,780534080.0,Stub,
278,Oldřich Černík,Czech Republic,780534267.0,Stub,
279,Otakar Motejl,Czech Republic,780868492.0,Start,
280,Ludwig Czech,Czech Republic,780887131.0,Stub,
281,Rudolf Beran,Czech Republic,780921783.0,Start,
282,Victor Adler,Czech Republic,782058966.0,Start,
283,Emil Beier,Czech Republic,782384016.0,Stub,
284,Bruno Kafka,Czech Republic,783065752.0,Stub,
285,Lucie Talmanová,Czech Republic,783711789.0,Start,
286,Martin Mejstřík,Czech Republic,783737915.0,Stub,
287,Vlastimil Tusar,Czech Republic,784145485.0,Start,
288,Petr Bendl,Czech Republic,784826685.0,Start,
289,Petr Gandalovič,Czech Republic,784826720.0,Start,
290,Tomáš Vandas,Czech Republic,784968648.0,Start,
291,Robert Mayr-Harting,Czech Republic,785085345.0,Stub,
292,Karel Havlíček Borovský,Czech Republic,785407597.0,C,
293,Jan Černý,Czech Republic,786162238.0,Stub,
294,Josef Frank (politician),Czech Republic,786399604.0,Stub,
295,Philip Kinsky of Wchinitz and Tettau,Czech Republic,786612217.0,Start,
296,Luboš Dobrovský,Czech Republic,787952395.0,Stub,
297,Bedřich Moldan,Czech Republic,787952868.0,Stub,
298,Martin Palouš,Czech Republic,788015952.0,Start,
299,Hermann Zwierzina,Czech Republic,788121309.0,Stub,
300,Eduard Zeman,Czech Republic,788178766.0,Stub,
301,Richard Bienert,Czech Republic,788410657.0,Start,
302,Václav Hampl,Czech Republic,789102318.0,Start,
303,Miroslav Grebeníček,Czech Republic,789546047.0,Stub,
304,Vlasta Štěpová,Czech Republic,789546066.0,Stub,
305,Egon Lánský,Czech Republic,789546079.0,Start,
306,Antonín Prachař,Czech Republic,789546102.0,Stub,
307,Milan Horálek,Czech Republic,789546147.0,Stub,
308,Antonín Novotný,Czech Republic,790372008.0,C,
309,Zuzana Brzobohatá,Czech Republic,790608148.0,Stub,
310,Alena Palečková,Czech Republic,790608180.0,Stub,
311,Zuzana Roithová,Czech Republic,790608186.0,Start,
312,"List of MPs elected in the Czech legislative election, 2017",Czech Republic,790838510.0,Stub,
313,Martin Jahn,Czech Republic,791374581.0,Start,
314,Pavel Rychetský,Czech Republic,792417439.0,Start,
315,Gustáv Slamečka,Czech Republic,792476721.0,Start,
316,Edvard Kožušník,Czech Republic,793087579.0,Stub,
317,Jan Masaryk,Czech Republic,793642926.0,C,
318,Jan Koukal,Czech Republic,794146543.0,Stub,
319,Pavel Bém,Czech Republic,794995687.0,Start,
320,"List of MPs elected in the Czech legislative election, 2013",Czech Republic,795098385.0,C,
321,Vít Bárta,Czech Republic,795377941.0,Stub,
322,Karl Kautsky,Czech Republic,795807571.0,C,
323,Karl von Czyhlarz,Czech Republic,795809115.0,Stub,
324,Václav Fresl,Czech Republic,796253432.0,Stub,
325,Josef Václav Frič,Czech Republic,796403608.0,Start,
326,Tomáš Zdechovský,Czech Republic,796749458.0,C,
327,Andrea Češková,Czech Republic,796751775.0,Stub,
328,Dana Kuchtová,Czech Republic,796752629.0,Stub,
329,Rudolf Margolius,Czech Republic,796825099.0,C,
330,František Ladislav Rieger,Czech Republic,797539957.0,B,
331,Petr Mach,Czech Republic,797842545.0,Start,
332,Jaroslava Moserová,Czech Republic,798490261.0,Start,
333,Vávra Suk,Czech Republic,798648973.0,Stub,
334,Vojtěch Náprstek,Czech Republic,798686948.0,C,
335,Lubomír Štrougal,Czech Republic,798705619.0,Start,
336,Jan Krejčí,Czech Republic,798796793.0,B,
337,Radek John,Czech Republic,798944631.0,Stub,
338,Jan Jesenius,Czech Republic,799301686.0,Start,
339,Josef Ježek,Czech Republic,800555146.0,Start,
340,Jana Bobošíková,Czech Republic,800754664.0,Start,
341,Franz Anton von Kolowrat-Liebsteinsky,Czech Republic,800883412.0,Start,
342,Viktor Dyk,Czech Republic,800925236.0,C,
343,Alois Jirásek,Czech Republic,800925518.0,C,
344,"Alexander von Mensdorff-Pouilly, Prince Dietrichstein von Nicolsburg",Czech Republic,801939668.0,Start,
345,Adriana Krnáčová,Czech Republic,801972898.0,Start,
346,Ondřej Liška,Czech Republic,802013967.0,Stub,
347,Marcel Chládek,Czech Republic,802054500.0,Stub,
348,Miroslava Kopicová,Czech Republic,802055280.0,Stub,
349,Milan Chovanec,Czech Republic,802060218.0,Stub,
350,František Bublan,Czech Republic,802060471.0,Stub,
351,Jiří Dienstbier Jr.,Czech Republic,802069244.0,C,
352,Táňa Fischerová,Czech Republic,802360196.0,C,
353,Václav Jehlička,Czech Republic,802365998.0,Stub,
354,Viliam Široký,Czech Republic,802416926.0,Stub,
355,Miroslav Lidinský,Czech Republic,802531379.0,C,
356,Petr Cibulka,Czech Republic,802834939.0,Start,
357,Anna Šabatová,Czech Republic,802875800.0,Stub,
358,Adolph Aloys von Braun,Czech Republic,803332354.0,C,
359,Dana Bérová,Czech Republic,803438779.0,Stub,
360,František Palacký,Czech Republic,803658529.0,C,
361,Miroslav Kostelka,Czech Republic,803709959.0,Stub,
362,Martin Barták,Czech Republic,803793256.0,Stub,
363,Karolína Peake,Czech Republic,803794383.0,Start,
364,Petr Ježek,Czech Republic,803983301.0,Start,
365,František Udržal,Czech Republic,804093764.0,Stub,
366,Václav Havel,Czech Republic,804569724.0,C,
367,Pavel Fischer,Czech Republic,804582256.0,Stub,
368,Eva Tylová,Czech Republic,804591494.0,Stub,
369,Dana Jurásková,Czech Republic,804715205.0,Stub,
370,Svatopluk Němeček,Czech Republic,804715467.0,Stub,
371,Richard Brabec,Czech Republic,804820949.0,Stub,
372,Jan Fischer (politician),Czech Republic,804868436.0,C,
373,Martin Pecina,Czech Republic,804869147.0,Stub,
374,Vlasta Parkanová,Czech Republic,804871394.0,Stub,
375,Martin Bursík,Czech Republic,804879673.0,Start,
376,Lubomír Zaorálek,Czech Republic,805037426.0,Start,
377,Radola Gajda,Czech Republic,805084705.0,C,
378,Karel Schwarzenberg,Czech Republic,805176779.0,C,
379,Vlasta Svobodová,Czech Republic,805179298.0,Stub,
380,Ondřej Přikryl,Czech Republic,805352758.0,Start,
381,Milada Horáková,Czech Republic,805439919.0,C,
382,Martin Holcát,Czech Republic,805824502.0,Stub,
383,Alena Dernerová,Czech Republic,805946007.0,Stub,
384,Marian Jurečka,Czech Republic,806049453.0,Stub,
385,Pavel Bělobrádek,Czech Republic,806085100.0,Stub,
386,Dan Ťok,Czech Republic,806231200.0,Stub,
387,Jiří Dienstbier,Czech Republic,806490518.0,Stub,
388,Rudolf Slánský,Czech Republic,806504904.0,C,
389,Alexandr Vondra,Czech Republic,806537585.0,C,
390,Jaroslav Šedivý,Czech Republic,806538241.0,Stub,
391,Cyril Svoboda,Czech Republic,806538320.0,C,
392,Jan Kohout,Czech Republic,806539480.0,Stub,
393,Miloš Vystrčil,Czech Republic,806558617.0,Stub,
394,Alois Eliáš,Czech Republic,806566913.0,C,
395,Jan Skopeček (politician),Czech Republic,806569308.0,Stub,
396,Miloslav Ludvík,Czech Republic,806586185.0,Stub,
397,Martin Kupka,Czech Republic,806636602.0,Stub,
398,Matěj Stropnický,Czech Republic,806650264.0,Stub,
399,Petr Šimerka,Czech Republic,806669645.0,Stub,
400,Jaromír Drábek,Czech Republic,806669709.0,Stub,
401,Ludmila Müllerová,Czech Republic,806669752.0,Stub,
402,Jan Veleba (politician),Czech Republic,806672899.0,Stub,
403,František Ringo Čech,Czech Republic,806673245.0,Stub,
404,Michaela Marksová,Czech Republic,806673585.0,Stub,
405,Robert Pelikán,Czech Republic,806708361.0,Stub,
406,Karla Šlechtová,Czech Republic,806708532.0,Stub,
407,Stanislav Gross,Czech Republic,806720477.0,C,
408,Martin Stropnický,Czech Republic,806729653.0,Stub,
409,Leoš Heger,Czech Republic,806751902.0,Stub,
410,Bohuslav Svoboda,Czech Republic,806850638.0,Stub,
411,Miroslava Němcová,Czech Republic,806876791.0,Stub,
412,Zbyněk Stanjura,Czech Republic,806900987.0,Stub,
413,Drahomíra Miklošová,Czech Republic,806988445.0,Stub,
414,Václav Klaus Jr.,Czech Republic,806991412.0,C,
415,Dominik Feri,Czech Republic,807058182.0,Start,
416,Alexandra Udženija,Czech Republic,807102237.0,Stub,
417,Ivan Pilný,Czech Republic,807333095.0,Stub,
418,Marta Semelová,Czech Republic,807334610.0,Stub,
419,Daniel Herman,Czech Republic,807334657.0,Start,
420,Jan Hamáček,Czech Republic,807353609.0,Stub,
421,Michal Horáček,Czech Republic,807358143.0,Start,
422,Václav Klaus,Czech Republic,807382193.0,C,
423,Martin Kuba,Czech Republic,807394304.0,Stub,
424,Martin Říman,Czech Republic,807394725.0,Stub,
425,Kateřina Valachová,Czech Republic,807399097.0,Stub,
426,Vladimír Tošovský,Czech Republic,807415625.0,Stub,
427,Pavel Svoboda,Czech Republic,807416099.0,Start,
428,Petr Fiala,Czech Republic,807420515.0,Start,
429,Vladimír Špidla,Czech Republic,807462107.0,C,
430,Presidents of the General Council of French Guiana,French Guiana,546364151.0,Stub,
431,Georges Guéril,French Guiana,720040781.0,Stub,
432,Édouard Gaumont,French Guiana,720040911.0,Stub,
433,Raymond Tarcy,French Guiana,720461524.0,Stub,
434,Alain Tien-Liong,French Guiana,721865198.0,Stub,
435,Presidents of the Regional Council of French Guiana,French Guiana,732283076.0,Stub,
436,Jean-Étienne Antoinette,French Guiana,737536891.0,Stub,
437,René Jadfard,French Guiana,749748234.0,Start,
438,Paulin Brune,French Guiana,786385007.0,Stub,
439,Thierry Robert,French Guiana,788799439.0,Stub,
440,Juliana Rimane,French Guiana,788807577.0,Stub,
441,Jules Patient,French Guiana,788827828.0,Stub,
442,Gaston Monnerville,French Guiana,788828507.0,Start,
443,Eugénie Éboué-Tell,French Guiana,788828649.0,Stub,
444,Christiane Taubira,French Guiana,788828802.0,C,
445,Léopold Héder,French Guiana,788830652.0,Stub,
446,Léon Bertrand,French Guiana,788837401.0,Start,
447,Justin Catayée,French Guiana,789009266.0,Stub,
448,Gabriel Serville,French Guiana,789340739.0,Stub,
449,Rodolphe Alexandre,French Guiana,789939904.0,Stub,
450,Georges Othily,French Guiana,789940008.0,Stub,
451,Antoine Karam,French Guiana,791685731.0,Stub,
452,Georges Patient,French Guiana,791685933.0,Stub,
453,Élie Castor,French Guiana,793002652.0,Stub,
454,Chantal Berthelot,French Guiana,793613477.0,Stub,
455,Léon Damas,French Guiana,794908987.0,Start,
456,Félix Éboué,French Guiana,804473743.0,C,
457,Timoteo Menéndez,Salvadoran,566504165.0,Start,
